,board,board_size,game_id,move_from,move_to,movement,owner,visible
0,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[9],[15],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
1,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[29],[23],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
2,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[11],[17],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
3,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[24],[18],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
4,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[15],[27],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
5,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[33],[27],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
6,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[5],[11],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
7,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[23],[22],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
8,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[17],[23],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
9,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[22],[23],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
10,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[11],[17],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
11,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[27],[21],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
12,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[4],[5],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
13,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[21],[15],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
14,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[17],[11],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
15,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[35],[29],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
16,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[6],[12],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
17,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[30],[24],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
18,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[11],[17],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
19,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[15],[16],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
20,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[17],[11],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
21,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[18],[12],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
22,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[12],[13],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
23,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[16],[15],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
24,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[11],[17],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
25,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[34],[33],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
26,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[5],[4],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
27,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[15],[9],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
28,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[17],[16],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
29,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[9],[3],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
